Suj;Explicaiblity;Satisfaction;Utilisability;Manip
1;Guided;55.2083;69.5313;1
1;Unguided;85.1563;25.2604;1
1;Guided;55.2083;66.9271;1
1;Unguided;60.4167;46.0938;1
1;Guided;59.1146;61.7188;1
1;Unguided;57.8125;43.4896;1
1;Guided;29.1667;55.2083;1
1;Unguided;60.4167;35.6771;1
1;Guided;36.9792;57.8125;1
1;Unguided;60.4167;18.75;1
1;Guided;18.75;20.0521;1
1;Unguided;72.1354;69.5313;1
2;Guided;40.8854;47.3958;1
2;Unguided;59.1146;34.375;1
2;Guided;66.9271;55.2083;1
2;Unguided;61.7188;52.6042;1
2;Guided;43.4896;43.4896;1
2;Unguided;46.0938;43.4896;1
2;Guided;60.4167;70.8333;1
2;Unguided;44.7917;40.8854;1
2;Guided;56.5104;64.3229;1
2;Unguided;48.6979;30.4688;1
2;Guided;46.0938;51.3021;1
2;Unguided;44.7917;51.3021;1
3;Guided;61.7188;5.7292;1
3;Unguided;47.3958;48.6979;1
3;Guided;65.625;68.2292;1
3;Unguided;44.7917;27.8646;1
3;Guided;83.8542;69.5313;1
3;Unguided;76.0417;35.6771;1
3;Guided;60.4167;64.3229;1
3;Unguided;42.1875;44.7917;1
3;Guided;48.6979;55.2083;1
3;Unguided;27.8646;13.5417;1
3;Guided;64.3229;53.9063;1
3;Unguided;52.6042;46.0938;1
5;Guided;68.2292;57.8125;1
5;Unguided;52.6042;57.8125;1
5;Guided;57.8125;56.5104;1
5;Unguided;61.7188;57.8125;1
5;Guided;59.1146;57.8125;1
5;Unguided;59.1146;59.1146;1
5;Guided;60.4167;60.4167;1
5;Unguided;59.1146;60.4167;1
5;Guided;61.7188;57.8125;1
5;Unguided;60.4167;59.1146;1
5;Guided;59.1146;56.5104;1
5;Unguided;59.1146;56.5104;1
6;Guided;65.625;70.8333;1
6;Unguided;57.8125;12.2396;1
6;Guided;59.1146;72.1354;1
6;Unguided;53.9063;60.4167;1
6;Guided;51.3021;74.7396;1
6;Unguided;55.2083;61.7188;1
6;Guided;63.0208;63.0208;1
6;Unguided;52.6042;52.6042;1
6;Guided;60.4167;61.7188;1
6;Unguided;55.2083;57.8125;1
6;Guided;55.2083;66.9271;1
6;Unguided;55.2083;53.9063;1
8;Guided;79.9479;30.4688;1
8;Unguided;82.5521;38.2813;1
8;Guided;70.8333;72.1354;1
8;Unguided;95.5729;83.8542;1
8;Guided;83.8542;73.4375;1
8;Unguided;79.9479;98.1771;1
8;Guided;85.1563;93.4896;1
8;Unguided;89.5833;98.1771;1
8;Guided;92.9688;86.4583;1
8;Unguided;85.1563;89.0625;1
8;Guided;79.9479;94.7917;1
8;Unguided;94.2708;95.5729;1
9;Guided;59.1146;42.1875;1
9;Unguided;47.3958;38.2813;1
9;Guided;53.9063;48.6979;1
9;Unguided;55.2083;50;1
9;Guided;43.4896;48.6979;1
9;Unguided;53.9063;46.0938;1
9;Guided;75.6042;62.1875;1
9;Unguided;57.8125;48.6979;1
9;Guided;75.2083;76.0938;1
9;Unguided;56.5104;48.6979;1
9;Guided;75.2083;80;1
9;Unguided;79.1146;90.6979;1
10;Guided;78.6458;82.5521;1
10;Unguided;74.7396;73.4375;1
10;Guided;70.8333;76.0417;1
10;Unguided;67.3438;57.3438;1
10;Guided;77.3438;72.1354;1
10;Unguided;65.625;70.8333;1
10;Guided;83.0208;73.4375;1
10;Unguided;74.7396;70.8333;1
10;Guided;74.3229;61.7188;1
10;Unguided;64.3229;66.9271;1
10;Guided;66.9271;69.5313;1
10;Unguided;61.7188;69.5313;1
11;Guided;61.7188;70.8333;1
11;Unguided;60.4167;63.0208;1
11;Guided;66.9271;72.1354;1
11;Unguided;61.7188;60.4167;1
11;Guided;79.9479;69.5313;1
11;Unguided;69.5313;89.0625;1
11;Guided;64.3229;70.8333;1
11;Unguided;73.4375;69.5313;1
11;Guided;63.0208;73.4375;1
11;Unguided;57.8125;69.5313;1
11;Guided;70.8333;69.5313;1
11;Unguided;70.8333;72.1354;1
12;Guided;65.625;55.2083;1
12;Unguided;59.1146;57.8125;1
12;Guided;60.4167;50;1
12;Unguided;57.8125;50;1
12;Guided;50;40.8854;1
12;Unguided;50;50;1
12;Guided;42.1875;42.1875;1
12;Unguided;44.7917;43.4896;1
12;Guided;42.1875;43.4896;1
12;Unguided;42.1875;42.1875;1
12;Guided;43.4896;40.8854;1
12;Unguided;40.8854;43.4896;1
14;Guided;78.6458;61.7188;1
14;Unguided;68.2292;65.625;1
14;Guided;77.3438;68.2292;1
14;Unguided;74.7396;66.9271;1
14;Guided;68.2292;65.625;1
14;Unguided;65.625;65.625;1
14;Guided;65.625;78.6458;1
14;Unguided;72.1354;68.2292;1
14;Guided;73.4375;77.3438;1
14;Unguided;70.8333;77.3438;1
14;Guided;59.1146;79.9479;1
14;Unguided;63.0208;78.6458;1
15;Guided;52.6042;43.4896;1
15;Unguided;43.4896;50;1
15;Guided;43.4896;60.4167;1
15;Unguided;50;50;1
15;Guided;50;69.5313;1
15;Unguided;61.7188;60.4167;1
15;Guided;50;50;1
15;Unguided;50;50;1
15;Guided;53.9063;36.9792;1
15;Unguided;61.7188;64.3229;1
