NumSuj;NumBloc;Level of Automation;Difficulty;System Correctness;Latence (in s);Explicability;Subject Correctness;Temporal Binding;Decision Confidence
1;1;Free;Medium;Correct;0.75;Guided;Correct;250;8
1;1;Forced;Medium;Correct;1.25;Guided;Correct;-50;8
1;1;Forced;Medium;Correct;0.75;Guided;Correct;-250;7
1;1;Free;Easy;Correct;0.75;Guided;Correct;-350;8
1;1;Free;Medium;Correct;0.75;Guided;Error;50;4
1;1;Free;Easy;Correct;0.25;Guided;Correct;50;8
1;1;Forced;Medium;Correct;1.25;Guided;Correct;-1050;8
1;1;Free;Hard;Correct;0.25;Guided;Correct;-50;8
1;1;Free;Hard;Correct;1.25;Guided;Error;-550;5
1;1;Free;Medium;Correct;1.25;Guided;Correct;-250;6
1;1;Free;Easy;Correct;1.25;Guided;Correct;-650;8
1;1;Forced;Easy;Correct;0.75;Guided;Correct;-450;8
1;1;Free;Easy;Correct;0.25;Guided;Correct;-50;8
1;1;Forced;Easy;Correct;1.25;Guided;Correct;250;8
1;1;Forced;Hard;Error;1.25;Guided;Error;-550;6
1;1;Forced;Hard;Correct;1.25;Guided;Correct;-450;6
1;1;Free;Easy;Correct;0.75;Guided;Correct;150;8
1;1;Forced;Easy;Correct;1.25;Guided;Correct;-450;8
1;1;Forced;Easy;Correct;0.25;Guided;Correct;450;8
1;1;Forced;Medium;Correct;0.25;Guided;Correct;-50;8
1;1;Forced;Medium;Correct;0.25;Guided;Correct;250;8
1;1;Forced;Hard;Correct;0.25;Guided;Correct;450;1
1;1;Forced;Hard;Error;0.75;Guided;Error;-250;1
1;1;Forced;Easy;Correct;0.75;Guided;Correct;-250;4
1;1;Forced;Hard;Correct;0.25;Guided;Correct;-50;8
1;1;Free;Medium;Correct;1.25;Guided;Correct;-1150;8
1;1;Free;Hard;Correct;1.25;Guided;Correct;-50;8
1;1;Forced;Easy;Correct;0.25;Guided;Correct;50;8
1;1;Free;Easy;Correct;1.25;Guided;Correct;-750;8
1;1;Free;Hard;Error;0.25;Guided;Correct;150;5
1;1;Free;Medium;Correct;0.25;Guided;Correct;150;8
1;1;Forced;Hard;Correct;0.75;Guided;Correct;-150;8
1;1;Forced;Medium;Correct;0.75;Guided;Correct;150;8
1;1;Free;Hard;Correct;0.75;Guided;Correct;50;8
1;1;Free;Medium;Error;0.25;Guided;Correct;150;6
1;1;Free;Hard;Correct;0.75;Guided;Correct;-150;8
1;2;Forced;Medium;Correct;0.25;Unguided;Correct;50;8
1;2;Forced;Easy;Correct;1.25;Unguided;Correct;-650;8
1;2;Free;Hard;Correct;0.75;Unguided;Error;-50;6
1;2;Forced;Hard;Correct;1.25;Unguided;Correct;150;2
1;2;Forced;Hard;Correct;0.25;Unguided;Correct;50;8
1;2;Forced;Hard;Correct;0.75;Unguided;Correct;250;4
1;2;Forced;Medium;Correct;1.25;Unguided;Correct;-450;8
1;2;Free;Hard;Correct;0.75;Unguided;Correct;-250;7
1;2;Free;Medium;Correct;0.25;Unguided;Correct;250;8
1;2;Free;Hard;Error;0.25;Unguided;Correct;350;3
1;2;Free;Hard;Correct;0.25;Unguided;Correct;50;8
1;2;Free;Easy;Correct;0.25;Unguided;Correct;350;8
1;2;Forced;Easy;Correct;0.75;Unguided;Correct;-650;8
1;2;Forced;Medium;Correct;1.25;Unguided;Correct;-350;8
1;2;Forced;Easy;Correct;0.75;Unguided;Correct;250;8
1;2;Forced;Easy;Correct;1.25;Unguided;Correct;-350;8
1;2;Forced;Hard;Correct;1.25;Unguided;Correct;-550;8
1;2;Free;Easy;Correct;1.25;Unguided;Correct;-450;8
1;2;Free;Medium;Correct;1.25;Unguided;Correct;-450;8
1;2;Free;Easy;Correct;0.25;Unguided;Correct;150;8
1;2;Forced;Medium;Correct;0.75;Unguided;Correct;150;8
1;2;Free;Medium;Correct;0.75;Unguided;Correct;50;8
1;2;Forced;Easy;Correct;0.25;Unguided;Correct;550;8
1;2;Forced;Medium;Error;0.25;Unguided;Error;250;2
1;2;Free;Easy;Correct;0.75;Unguided;Correct;50;8
1;2;Free;Easy;Correct;1.25;Unguided;Correct;-450;8
1;2;Forced;Easy;Correct;0.25;Unguided;Correct;550;8
1;2;Free;Medium;Correct;0.75;Unguided;Correct;138;8
