NumSuj;NumBloc;Level of Automation;Difficulty;System Correctness;Latence (in s);Explicability;Subject Correctness;Type of Control;Temporal Binding (in ms);Score of Control
1;1;Forced;Medium;Correct;0.75;Guided;Correct;Used;-50;6
1;1;Free;Hard;Error;1.25;Guided;Error;Used;-472;7
1;1;Forced;Easy;Correct;0.75;Guided;Correct;Used;50;6
1;1;Forced;Easy;Correct;1.25;Guided;Correct;Used;-250;6
1;1;Forced;Medium;Correct;0.25;Guided;Correct;Used;950;5
1;1;Free;Hard;Correct;0.75;Guided;Correct;Used;-191;5
1;1;Free;Easy;Correct;0.25;Guided;Correct;Used;637;6
1;1;Free;Easy;Correct;0.75;Guided;Correct;Used;250;6
1;1;Free;Medium;Correct;1.25;Guided;Correct;Used;-694;5
1;1;Free;Easy;Correct;0.75;Guided;Correct;Used;-84;5
1;1;Forced;Easy;Correct;0.25;Guided;Correct;Used;850;5
1;1;Free;Easy;Correct;0.25;Guided;Correct;Used;639;4
1;1;Free;Hard;Correct;1.25;Guided;Correct;Used;-575;5
1;1;Forced;Hard;Correct;1.25;Guided;Correct;Used;-128;6
1;1;Free;Medium;Correct;0.75;Guided;Correct;Used;250;4
1;1;Free;Hard;Correct;0.75;Guided;Correct;Used;-196;4
1;1;Free;Medium;Correct;0.75;Guided;Correct;Used;-527;6
1;1;Forced;Medium;Correct;1.25;Guided;Correct;Used;-128;6
1;1;Forced;Hard;Correct;0.25;Guided;Correct;Used;1050;6
1;1;Free;Easy;Correct;1.25;Guided;Correct;Used;-36;5
1;1;Forced;Medium;Correct;0.75;Guided;Correct;Used;382;6
1;1;Free;Medium;Correct;0.25;Guided;Correct;Used;995;5
1;1;Forced;Hard;Correct;0.75;Guided;Correct;Used;506;5
1;1;Forced;Easy;Correct;0.75;Guided;Correct;Used;685;5
1;1;Free;Hard;Correct;0.25;Guided;Correct;Used;1106;5
1;1;Forced;Hard;Correct;0.75;Guided;Correct;Used;-188;4
1;1;Forced;Hard;Error;0.25;Guided;Error;Used;350;6
1;1;Free;Medium;Error;1.25;Guided;Error;Used;-249;5
1;1;Forced;Easy;Correct;1.25;Guided;Correct;Used;-750;5
1;1;Free;Hard;Correct;0.25;Guided;Correct;Used;254;5
1;1;Free;Easy;Correct;1.25;Guided;Correct;Used;-49;5
1;1;Free;Medium;Correct;0.25;Guided;Correct;Used;1050;5
1;1;Forced;Medium;Correct;1.25;Guided;Correct;Used;-550;5
1;1;Forced;Hard;Error;1.25;Guided;Error;Used;-353;6
1;1;Forced;Medium;Correct;0.25;Guided;Correct;Used;200;5
1;1;Forced;Easy;Correct;0.25;Guided;Correct;Used;952;5
1;2;Free;Medium;Correct;1.25;Unguided;Error;Felt;-650;5
1;2;Forced;Easy;Correct;0.25;Unguided;Correct;Felt;450;6
