NumSuj;Explicability;Difficulty;Level of Automation;Correct Rates (in %)
1;Guided;Easy;Free;75
2;Guided;Easy;Free;94.4444
3;Guided;Easy;Free;100
4;Guided;Easy;Free;91.6667
5;Guided;Easy;Free;86.1111
6;Guided;Easy;Free;100
7;Guided;Easy;Free;97.2222
8;Guided;Easy;Free;94.4444
9;Guided;Easy;Free;91.6667
10;Guided;Easy;Free;95.8333
11;Guided;Easy;Free;100
12;Guided;Easy;Free;88.8889
13;Guided;Easy;Free;100
14;Guided;Easy;Free;88.8889
15;Guided;Easy;Free;88.8889
16;Guided;Easy;Free;97.2222
17;Guided;Easy;Free;97.2222
18;Guided;Easy;Free;100
19;Guided;Easy;Free;94.4444
20;Guided;Easy;Free;97.2222
21;Guided;Easy;Free;97.2222
22;Guided;Easy;Free;100
23;Guided;Easy;Free;97.2222
24;Guided;Easy;Free;97.2222
25;Guided;Easy;Free;94.4444
26;Guided;Easy;Free;97.2222
27;Guided;Easy;Free;88.8889
28;Guided;Easy;Free;97.2222
29;Guided;Easy;Free;100
30;Guided;Easy;Free;97.2222
31;Guided;Easy;Free;100
32;Guided;Easy;Free;100
33;Guided;Easy;Free;100
34;Guided;Easy;Free;97.2222
35;Guided;Easy;Free;100
36;Guided;Easy;Free;91.6667
37;Guided;Easy;Free;97.2222
38;Guided;Easy;Free;97.2222
39;Guided;Easy;Free;100
1;Guided;Medium;Free;63.8889
2;Guided;Medium;Free;77.7778
3;Guided;Medium;Free;94.4444
4;Guided;Medium;Free;83.3333
5;Guided;Medium;Free;77.7778
6;Guided;Medium;Free;86.1111
7;Guided;Medium;Free;94.4444
8;Guided;Medium;Free;86.1111
9;Guided;Medium;Free;88.8889
10;Guided;Medium;Free;87.5
11;Guided;Medium;Free;88.8889
12;Guided;Medium;Free;88.8889
13;Guided;Medium;Free;83.3333
14;Guided;Medium;Free;72.2222
15;Guided;Medium;Free;75
16;Guided;Medium;Free;91.6667
17;Guided;Medium;Free;94.4444
18;Guided;Medium;Free;91.6667
19;Guided;Medium;Free;75
20;Guided;Medium;Free;91.6667
21;Guided;Medium;Free;86.1111
22;Guided;Medium;Free;80.5556
23;Guided;Medium;Free;86.1111
24;Guided;Medium;Free;80.5556
25;Guided;Medium;Free;83.3333
26;Guided;Medium;Free;91.6667
27;Guided;Medium;Free;80.5556
28;Guided;Medium;Free;86.1111
29;Guided;Medium;Free;94.4444
30;Guided;Medium;Free;91.6667
31;Guided;Medium;Free;88.8889
32;Guided;Medium;Free;100
33;Guided;Medium;Free;94.4444
34;Guided;Medium;Free;91.6667
35;Guided;Medium;Free;91.6667
36;Guided;Medium;Free;91.6667
37;Guided;Medium;Free;94.4444
38;Guided;Medium;Free;94.4444
39;Guided;Medium;Free;94.4444
1;Guided;Hard;Free;63.8889
2;Guided;Hard;Free;63.8889
3;Guided;Hard;Free;83.3333
4;Guided;Hard;Free;72.2222
5;Guided;Hard;Free;58.3333
6;Guided;Hard;Free;80.5556
7;Guided;Hard;Free;69.4444
8;Guided;Hard;Free;72.2222
9;Guided;Hard;Free;69.4444
10;Guided;Hard;Free;60.4167
11;Guided;Hard;Free;58.3333
12;Guided;Hard;Free;69.4444
13;Guided;Hard;Free;55.5556
14;Guided;Hard;Free;61.1111
15;Guided;Hard;Free;52.7778
16;Guided;Hard;Free;72.2222
